EVD_level,SDD_level,Skew_level,PA1,OA1,PA2,OA2,PB1,OB1,PB2,OB2,EVA,EVB,EVD,SDA,SDB,SDD,SkewA,SkewB
-20,25.0,A > 1.5 & B < -1.5,0.07,143,0.93,7,0.89,40,0.11,9,16.52,36.59,-20.07,34.7,9.69958246524045,25.0,3.371,-2.493
-20,35.0,A > 1.5 & B < -1.5,0.15,142,0.85,24,0.91,64,0.09,39,41.7,61.75,-20.05,42.134,7.1545440106270926,34.98,1.96,-2.865
-20,45.0,A > 1.5 & B < -1.5,0.15,148,0.85,7,0.89,50,0.11,33,28.15,48.13,-19.98,50.347,5.319125868035085,45.028,1.96,-2.493
-20,25.0,A < -1.5 & B > 1.5,0.82,93,0.18,2,0.2,115,0.8,92,76.62,96.6,-19.98,34.961,9.2,25.761,-1.666,1.5
-20,35.0,A < -1.5 & B > 1.5,0.81,110,0.19,3,0.06,137,0.94,108,89.67,109.74,-20.07,41.976,6.887118410481992,35.089,-1.58,3.705
-20,45.0,A < -1.5 & B > 1.5,0.81,130,0.19,7,0.03,146,0.97,126,106.63,126.6,-19.97,48.253,3.411744421846396,44.841,-1.58,5.51
-20,25.0,both near 0,0.6,75,0.4,4,0.43,78,0.57,58,46.6,66.6,-20.0,34.783,9.90151503558925,24.881,-0.408,0.283
-20,35.0,both near 0,0.39,102,0.61,13,0.45,77,0.55,60,47.71,67.65,-19.94,43.41,8.45739321540627,34.952,0.451,0.201
-20,45.0,both near 0,0.56,120,0.44,18,0.61,99,0.39,89,75.12,95.1,-19.98,50.631,4.877499359302879,45.754,-0.242,-0.451
-10,25.0,A > 1.5 & B < -1.5,0.17,148,0.83,70,0.85,95,0.15,83,83.26,93.2,-9.94,29.299,4.28485705712571,25.015,1.757,-1.96
-10,35.0,A > 1.5 & B < -1.5,0.12,147,0.88,11,0.8,42,0.2,19,27.32,37.4,-10.08,44.195,9.2,34.995,2.339,-1.5
-10,45.0,A > 1.5 & B < -1.5,0.17,149,0.83,18,0.98,51,0.02,20,40.27,50.38,-10.11,49.208,4.34,44.868,1.757,-6.857
-10,25.0,A < -1.5 & B > 1.5,0.8,99,0.2,20,0.04,126,0.96,92,83.2,93.36,-10.16,31.6,6.662612100370245,24.937,-1.5,4.695
-10,35.0,A < -1.5 & B > 1.5,0.85,117,0.15,5,0.05,133,0.95,109,100.2,110.2,-10.0,39.992,5.230678732248808,34.761,-1.96,4.129
-10,45.0,A < -1.5 & B > 1.5,0.81,143,0.19,17,0.07,144,0.93,128,119.06,129.12,-10.06,49.43,4.082352263095384,45.348,-1.58,3.371
-10,25.0,both near 0,0.45,110,0.55,40,0.62,89,0.38,69,71.5,81.4,-9.9,34.825,9.707728879609276,25.117,0.201,-0.494
-10,35.0,both near 0,0.38,131,0.62,44,0.4,96,0.6,81,77.06,87.0,-9.94,42.229,7.3484692283495345,34.88,0.494,0.408
-10,45.0,both near 0,0.59,130,0.41,28,0.38,105,0.62,94,88.18,98.18,-10.0,50.167,5.339250883785103,44.828,-0.366,0.494
