EVD,P_A1,O_A1,complex_OA1_part1,complex_OA1_part2,P_B1,O_B1,complex_OB1_part1,complex_OB1_part2,EV_A,SDA,Skew_A,Skew_category,SDA_level
-10,0.25,56,+ 42 + 30 + 53,− 94 + 25,1.0,24,+ 9 + 51 + 35,+ 45 − 116,14.0,24.24871130596428,1.1547005383792515,Right-skewed,SDA≈25
-10,0.75,56,− 110 + 49 + 37,+ 13 + 67,1.0,52,+ 63 + 26 + 10,+ 17 − 64,42.0,24.24871130596428,-1.1547005383792515,Left-skewed,SDA≈25
-10,0.38,50,− 92 + 10 + 30,+ 25 + 77,1.0,29,+ 28 + 41 + 42,− 120 + 38,19.0,24.269322199023193,0.49445138605819755,Symmetric,SDA≈25
-10,0.14,100,+ 51 + 47 + 82,− 101 + 21,1.0,24,+ 5 + 34 + 52,− 81 + 14,14.000000000000002,34.698703145794944,2.0750055037352464,Right-skewed,SDA≈35
-10,0.85,100,+ 34 + 51 + 85,+ 6 − 76,1.0,95,+ 30 − 101 + 108,+ 39 + 19,85.0,35.707142142714254,-1.9603921176392134,Left-skewed,SDA≈35
-10,0.4,70,+ 17 + 70 − 101,+ 8 + 76,1.0,38,+ 14 + 21 + 18,− 49 + 34,28.0,34.292856398964496,0.40824829046386296,Symmetric,SDA≈35
-10,0.25,104,+ 21 + 6 + 35,+ 71 − 29,1.0,36,+ 23 + 8 + 51,+ 43 − 89,26.0,45.033320996790806,1.154700538379252,Right-skewed,SDA≈45
-10,0.73,100,+ 80 + 19 − 75,+ 32 + 44,1.0,83,+ 9 + 76 − 38,+ 14 + 22,73.0,44.395945760846224,-1.036130646879212,Left-skewed,SDA≈45
-10,0.4,90,+ 63 + 19 − 61,+ 44 + 25,1.0,46,+ 26 + 18 + 40,+ 14 − 52,36.0,44.090815370097204,0.4082482904638632,Symmetric,SDA≈45
0,0.12,75,+ 52 + 36 + 62,+ 38 − 113,1.0,9,+ 8 + 6 − 82,+ 34 + 43,9.0,24.372115213907882,2.3387383286073216,Right-skewed,SDA≈25
0,0.88,75,+ 52 + 9 − 101,+ 77 + 38,1.0,66,− 61 + 17 + 45,+ 6 + 59,66.0,24.372115213907882,-2.3387383286073216,Left-skewed,SDA≈25
0,0.4,50,− 90 + 28 + 53,+ 51 + 8,1.0,20,+ 6 + 34 + 47,+ 9 − 76,20.0,24.49489742783178,0.408248290463863,Symmetric,SDA≈25
0,0.14,100,+ 45 + 31 − 89,+ 85 + 28,1.0,14,+ 63 + 14 + 20,+ 11 − 94,14.000000000000002,34.698703145794944,2.0750055037352464,Right-skewed,SDA≈35
0,0.86,100,+ 55 + 8 + 105,+ 36 − 104,1.0,86,+ 59 + 19 + 69,− 99 + 38,86.0,34.698703145794944,-2.0750055037352464,Left-skewed,SDA≈35
0,0.4,70,+ 30 + 29 + 68,− 67 + 10,1.0,28,+ 11 − 113 + 48,+ 35 + 47,28.0,34.292856398964496,0.40824829046386296,Symmetric,SDA≈35
0,0.27,100,+ 22 + 8 + 74,+ 32 − 36,1.0,27,+ 5 + 21 + 60,+ 16 − 75,27.0,44.395945760846224,1.036130646879212,Right-skewed,SDA≈45
0,0.73,100,+ 29 + 7 − 59,+ 21 + 102,1.0,73,+ 17 + 9 + 81,− 116 + 82,73.0,44.395945760846224,-1.036130646879212,Left-skewed,SDA≈45
0,0.6,90,+ 14 + 73 + 41,+ 58 − 96,1.0,54,+ 50 + 56 + 28,− 97 + 17,54.0,44.090815370097204,-0.4082482904638632,Symmetric,SDA≈45
10,0.25,60,+ 66 + 21 − 107,+ 22 + 58,1.0,5,− 71 + 8 + 26,+ 15 + 27,15.0,25.98076211353316,1.1547005383792515,Right-skewed,SDA≈25
10,0.88,75,+ 24 + 30 + 38,+ 56 − 73,1.0,56,+ 20 + 19 + 53,− 69 + 33,66.0,24.372115213907882,-2.3387383286073216,Left-skewed,SDA≈25
10,0.58,50,+ 15 + 33 + 45,+ 12 − 55,1.0,19,+ 70 + 8 − 101,+ 22 + 20,28.999999999999996,24.677925358506133,-0.32417635938924266,Symmetric,SDA≈25
10,0.2,90,+ 28 + 76 − 38,+ 7 + 17,1.0,8,+ 9 + 38 + 44,− 90 + 7,18.0,36.0,1.5,Right-skewed,SDA≈35
10,0.85,100,+ 83 + 86 + 31,− 106 + 6,1.0,75,+ 16 + 23 + 10,− 39 + 65,85.0,35.707142142714254,-1.9603921176392134,Left-skewed,SDA≈35
10,0.4,70,+ 21 + 101 + 10,− 80 + 18,1.0,18,+ 14 + 21 + 75,− 100 + 8,28.0,34.292856398964496,0.40824829046386296,Symmetric,SDA≈35
10,0.27,100,+ 90 − 68 + 26,+ 17 + 35,1.0,17,+ 21 + 23 − 58,+ 9 + 22,27.0,44.395945760846224,1.036130646879212,Right-skewed,SDA≈45
10,0.73,100,+ 33 + 48 + 40,− 110 + 89,1.0,63,+ 46 + 65 + 12,+ 55 − 115,73.0,44.395945760846224,-1.036130646879212,Left-skewed,SDA≈45
10,0.6,90,+ 23 + 14 + 40,+ 118 − 105,1.0,44,+ 52 + 41 + 49,+ 12 − 110,54.0,44.090815370097204,-0.4082482904638632,Symmetric,SDA≈45
